"cidade","doenca","quantidade"
"São Gonçalo","Diabetes mellitus insulino-dependente - sem complicações",0
"São Gonçalo","Fratura da diáfise do úmero",0
"São Gonçalo","Neoplasia maligna da face dorsal da língua",0
"São Gonçalo","Síndrome do túnel do tarso",0
"São Gonçalo","Insuficiência renal crônica não especificada",0
"São Gonçalo","Outras hemorragias subaracnóides",0
"São Gonçalo","Neoplasia maligna do estômago com lesão invasiva",0
"São Gonçalo","Estenose mitral",0
"São Gonçalo","Neoplasia maligna do cérebro",0
"São Gonçalo","Fístula de via biliar",0
"São Gonçalo","Outras pneumonias virais",0
"São Gonçalo","Desconforto respiratório não especificado do recém-nascido",0
"São Gonçalo","Outras complicações específicas de gestação múltipla",0
"São Gonçalo","Pré-eclâmpsia não especificada",0
"São Gonçalo","Transtorno osteomuscular não especificado pós-procedimento",0
"São Gonçalo","Neoplasia maligna do estômago",0
"São Gonçalo","Cólica nefrética não especificada",0
"São Gonçalo","Bronquite não especificada como aguda ou crônica",0
"São Gonçalo","Diabetes mellitus insulino-dependente - com complicações não especificadas",0
"São Gonçalo","Leucoma aderente",0
"São Gonçalo","Fratura dos ossos malares e maxilares",0
"São Gonçalo","Neoplasia maligna da porção cervical do esôfago (esôfago cervical)",0
"São Gonçalo","Amputação traumática do pé ao nível do tornozelo",0
"São Gonçalo","Incompetência do colo do útero",0
"São Gonçalo","Aborto retido",0
"São Gonçalo","Neoplasia maligna do cerebelo",0
"São Gonçalo","Outras cistites",0
"São Gonçalo","Embolia aérea subseqüentes à infusão",0
"São Gonçalo","Leucemia mielóide aguda",0
"São Gonçalo","Distúrbio metabólico não especificado",0
"São Gonçalo","Calculose da vesícula biliar sem colecistite",0
"Belo Horizonte","Outros tipos de parto único espontâneo",0
"Belo Horizonte","Cisto pilonidal com abscesso",0
"Belo Horizonte","Cistocele",0
"Belo Horizonte","Anemia nutricional não especificada",0
"Belo Horizonte","Obstrução do trabalho de parto devida a desproporção feto-pélvica",0
"Belo Horizonte","Aborto espontâneo - incompleto",0
"Belo Horizonte","Infecção intestinal bacteriana não especificada",0
"Belo Horizonte","Neoplasia maligna da trompa de Falópio",0
"Belo Horizonte","Parto por cesariana eletiva",0
"Belo Horizonte","Hérnia umbilical com obstrução",0
"Belo Horizonte","Sialadenite",0
"Belo Horizonte","Outras enterites virais",0
"Belo Horizonte","Infecção estreptocócica de localização não especificada",0
"Belo Horizonte","Outros acidentes isquêmicos cerebrais transitórios e síndromes correlatas",0
"Belo Horizonte","Diabetes mellitus insulino-dependente - com complicações circulatórias periféricas",0
"Belo Horizonte","Transtornos não especificados dos glóbulos brancos",0
"Belo Horizonte","Aderências peritoniais",0
"Belo Horizonte","Parto por cesariana de emergência",0
"Belo Horizonte","Púrpura trombocitopênica idiopática",0
"Belo Horizonte","Septicemia não especificada",0
"Belo Horizonte","Neoplasia maligna da mama com lesão invasiva",0
"Belo Horizonte","Parto espontâneo cefálico",1
"Belo Horizonte","Poliartropatia inflamatória",0
"Belo Horizonte","Diabetes mellitus não especificado - com complicações circulatórias periféricas",0
"Belo Horizonte","Pneumonia bacteriana não especificada",0
"Belo Horizonte","Trabalho de parto e parto complicados por vasa praevia",0
"Belo Horizonte","Hérnia inguinal unilateral ou não especificada",0
"Belo Horizonte","Calculose da vesícula biliar com outras formas de colecistite",0
"Belo Horizonte","Outras afecções especificadas da pele e do tecido subcutâneo",0
"Belo Horizonte","Outros transtornos especificados dos órgãos genitais masculinos",0
"Belo Horizonte","Outras colelitíases",0
"Belo Horizonte","Outros transtornos especificados do aparelho urinário",0
"Belo Horizonte","Outras doenças bacterianas especificadas",0
"Belo Horizonte","Retenção urinária",0
"Belo Horizonte","Infecção estafilocócica de localização não especificada",0
"Belo Horizonte","Parto único espontâneo",0
"Belo Horizonte","Outros cistos ovarianos e os não especificados",0
"Belo Horizonte","Hipertrofia do prepúcio",0
"Belo Horizonte","Infecção do trato urinário de localização não especificada",0
"Belo Horizonte","Transtorno depressivo recorrente",0
"Belo Horizonte","Outros transtornos da placenta",1
"Belo Horizonte","Hemorróidas externas sem complicação",0
"Belo Horizonte","Esquizofrenia simples",0
"Belo Horizonte","Transtorno afetivo bipolar",0
"Belo Horizonte","Esquizofrenia paranóide",0
"Belo Horizonte","Fratura do colo do fêmur",0
"Belo Horizonte","Diarréia e gastroenterite de origem infecciosa presumível",0
"Belo Horizonte","Dengue [dengue clássico]",0
"Belo Horizonte","Calculose da vesícula biliar com colicistite aguda",0
"Belo Horizonte","Neoplasia benigna do útero",0
"Belo Horizonte","Outra hidrocele",0
"Belo Horizonte","Neoplasia lipomatosa benigna da pele e do tecido subcutâneo da cabeça",0
"Belo Horizonte","Outras gastrites",0
"Belo Horizonte","Fratura das diáfises do rádio e do cúbito [ulna]",0
"Belo Horizonte","Outros descolamentos da retina",0
"Belo Horizonte","Edema cerebral traumático",0
"Belo Horizonte","Obstrução do duodeno",0
"Belo Horizonte","Cirrose hepática alcoólica",0
"Belo Horizonte","Outra insuficiência renal crônica",0
"Belo Horizonte","Neoplasia maligna da porção central da mama",0
"Belo Horizonte","Traumatismo do cólon",0
"Belo Horizonte","Hiperplasia da próstata",0
"Belo Horizonte","Fratura de outras partes e de partes não especificadas do punho e da mão",0
"Belo Horizonte","Seguimento envolvendo remoção de placa de fratura e outros dispositivos de fixação interna",0
"Belo Horizonte","Outras coxartroses pós-traumáticas",0
"Belo Horizonte","Outras formas de doença isquêmica aguda do coração",0
"Belo Horizonte","Outras esquizofrenias",0
"Belo Horizonte","Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome de dependência",0
"Belo Horizonte","Transtornos mentais e comportamentais devidos ao uso de álcool - transtorno psicótico",0
"Belo Horizonte","Outras poliartroses",0
"Belo Horizonte","Luxação congênita unilateral do quadril",0
"Belo Horizonte","Outras deformidades da orelha",0
"Belo Horizonte","Insuficiência cardíaca congestiva",0
"Belo Horizonte","Linfoma não-Hodgkin difuso",0
"Belo Horizonte","Leiomioma subseroso do útero",0
"Belo Horizonte","Neoplasia maligna do colo do útero",0
"Belo Horizonte","Neoplasia de comportamento incerto ou desconhecido do ovário",0
"Belo Horizonte","Neoplasia lipomatosa benigna da pele e tecido subcutâneo de outras localizações e de localizações não especificadas",0
"Belo Horizonte","Transtornos inflamatórios da mama",0
"Belo Horizonte","Outros tipos de parto único por cesariana",0
"Belo Horizonte","Causas desconhecidas e não especificadas de morbidade",0
"Belo Horizonte","Trabalho de parto e parto complicados por cordão curto",0
"Belo Horizonte","Gastrite crônica",0
"Belo Horizonte","Epilepsia",0
"Belo Horizonte","Diabetes mellitus não especificado - com complicações não especificadas",0
"Belo Horizonte","Doença do esôfago",0
"Belo Horizonte","Pneumonia não especificada",0
"Belo Horizonte","Outras gastrites agudas",0
"Belo Horizonte","Asma não especificada",0
"Belo Horizonte","Desnutrição protéico-calórica não especificada",0
"Belo Horizonte","Trabalho de parto prolongado",0
"Belo Horizonte","Infecção viral não especificada",0
"Belo Horizonte","Nefrite túbulo-intersticial crônica não especificada",0
"Belo Horizonte","Leiomioma do útero",0
"Belo Horizonte","Outras doenças da glândula de Bartholin",0
"Belo Horizonte","Cisto da glândula de Bartholin",0
"Belo Horizonte","Outros abscessos da faringe",0
"Belo Horizonte","Calculose de via biliar sem colangite ou colecistite",0
"Belo Horizonte","Hiperplasia adenomatosa endometrial",0
"Belo Horizonte","Doença pelo HIV resultando em encefalopatia",0
"Belo Horizonte","Efeito tóxico do veneno de serpente",0
"Belo Horizonte","Peritonite aguda",0
"Belo Horizonte","Traumatismo cerebral focal",0
"Belo Horizonte","Bexiga neuropática não-inibida não classificada em outra parte",0
"Belo Horizonte","Doença pulmonar obstrutiva crônica com infecção respiratória aguda do trato respiratório inferior",0
"Belo Horizonte","Neoplasia maligna secundária e não especificada dos gânglios linfáticos da cabeça",0
"Belo Horizonte","Esterilização",0
"Belo Horizonte","Nódulo mamário não especificado",0
"Belo Horizonte","Trabalho de parto e parto complicados por sofrimento fetal",0
"Belo Horizonte","Outras anormalidades da contração uterina",0
"Belo Horizonte","Hérnia ventral sem obstrução ou gangrena",0
"Belo Horizonte","Pólipo do corpo do útero",0
"Belo Horizonte","Erisipela",0
"Belo Horizonte","Gravidez prolongada",0
"Belo Horizonte","Anemia não especificada",0
"Belo Horizonte","Hipertensão essencial (primária)",0
"Belo Horizonte","Bronquite aguda não especificada",0
"Belo Horizonte","Episódio depressivo moderado",0
"Belo Horizonte","Gastrite não especificada",0
"Belo Horizonte","Outras septicemias especificadas",0
"Belo Horizonte","Outros recém-nascidos de pré-termo",0
"Belo Horizonte","Tuberculose pulmonar",0
"Belo Horizonte","Fratura da rótula [patela]",1
"Belo Horizonte","Fratura da extremidade inferior do úmero",0
"Belo Horizonte","Neoplasia maligna dos ureteres",0
"Belo Horizonte","Fratura do maléolo lateral",0
"Belo Horizonte","Afecções da pele e do tecido subcutâneo",0
"Belo Horizonte","Cisto ovariano de desenvolvimento",0
"Belo Horizonte","Parto por cesariana",0
"Belo Horizonte","Infecção bacteriana não especificada",0
"Belo Horizonte","Neoplasia benigna de outras partes do útero",0
"Belo Horizonte","Úlcera gastrojejunal - aguda com hemorragia",0
"Belo Horizonte","Neoplasia benigna de localização não especificada",0
"Belo Horizonte","Salpingite e ooforite não especificadas",0
"Belo Horizonte","Fratura da diáfise do fêmur",0
"Belo Horizonte","Luxação da articulação do tornozelo",0
"Belo Horizonte","Neoplasia de comportamento incerto ou desconhecido da bexiga",0
"Belo Horizonte","Apendicite aguda sem outra especificação",0
"Belo Horizonte","Outras doenças especificadas do intestino",0
"Belo Horizonte","Hérnia umbilical sem obstrução ou gangrena",0
"Belo Horizonte","Neoplasia de comportamento incerto ou desconhecido da próstata",0
"Belo Horizonte","Nevo melanocítico de outras partes e de partes não especificadas da face",0
"Belo Horizonte","Neoplasia benigna da glândula parótida",0
"Belo Horizonte","Outras pneumonias bacterianas",0
"Belo Horizonte","Outros transtornos respiratórios pós-procedimentos",0
"Belo Horizonte","Úlcera de decúbito",0
"Belo Horizonte","Pneumoconiose não especificada",0
"Belo Horizonte","Pneumonia viral não especificada",0
"Belo Horizonte","Traumatismo do rim",0
"Belo Horizonte","Doador de medula óssea",0
"Belo Horizonte","Leucemia linfoblástica aguda",0
"Belo Horizonte","Angina instável",0
"Belo Horizonte","Neoplasia de comportamento incerto ou desconhecido da medula espinhal",0
"Belo Horizonte","Trabalho de parto precipitado",0
"Belo Horizonte","Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome de abstinência com delirium",0
"Belo Horizonte","Fratura da diáfise da tíbia",0
"Belo Horizonte","Neoplasia maligna da glândula tireóide",0
"Belo Horizonte","Gangrena gasosa",0
"Belo Horizonte","Transtornos do desenvolvimento dos maxilares",0
"Belo Horizonte","Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome [estado] de abstinência",0
"Belo Horizonte","Insuficiência respiratória do recém-nascido",0
"Belo Horizonte","Fratura da extremidade distal do rádio e do cúbito [ulna]",0
"Belo Horizonte","Fenda palatina não especificada",0
"Belo Horizonte","Fratura da clavícula",0
"Belo Horizonte","Doença do pâncreas",0
"Belo Horizonte","Fratura da extremidade superior do úmero",0
"Belo Horizonte","Acidente vascular cerebral",0
"Belo Horizonte","Varizes dos membros inferiores com úlcera",0
"Belo Horizonte","Insuficiência cardíaca não especificada",0
"Belo Horizonte","Diabetes mellitus não-insulino-dependente - com complicações não especificadas",0
"Belo Horizonte","Angiopatia periférica em doenças classificadas em outra parte",0
"Belo Horizonte","Doença pulmonar obstrutiva crônica não especificada",0
"Belo Horizonte","Hérnia ventral com obstrução",0
"Belo Horizonte","Neoplasia maligna da próstata",0
"Belo Horizonte","Outros traumatismos intracranianos",0
"Belo Horizonte","Bloqueio atrioventricular total",0
"Belo Horizonte","Fratura de outras partes do antebraço",0
"Belo Horizonte","Outras infecções intestinais especificadas",0
"Belo Horizonte","Insuficiência respiratória aguda",0
"Belo Horizonte","Hipertensão secundária",0
"Belo Horizonte","Septicemia bacteriana não especificada do recém-nascido",0
"Belo Horizonte","Afecções hipertróficas da pele",0
"Belo Horizonte","Salpingite e ooforite agudas",0
"Belo Horizonte","Hepatite viral",0
"Belo Horizonte","Abscesso cutâneo",0
"Belo Horizonte","Outros sintomas e sinais gerais especificados",0
"Belo Horizonte","Complicação não especificada de cuidados médicos e cirúrgicos",0
"Belo Horizonte","Diabetes mellitus insulino-dependente - sem complicações",0
"Belo Horizonte","Fratura da diáfise do úmero",0
"Belo Horizonte","Neoplasia maligna da face dorsal da língua",0
"Belo Horizonte","Síndrome do túnel do tarso",0
"Belo Horizonte","Insuficiência renal crônica não especificada",0
"Belo Horizonte","Outras hemorragias subaracnóides",0
"Belo Horizonte","Neoplasia maligna do estômago com lesão invasiva",0
"Belo Horizonte","Estenose mitral",0
"Belo Horizonte","Neoplasia maligna do cérebro",0
"Belo Horizonte","Fístula de via biliar",0
"Belo Horizonte","Outras pneumonias virais",0
"Belo Horizonte","Desconforto respiratório não especificado do recém-nascido",0
"Belo Horizonte","Outras complicações específicas de gestação múltipla",0
"Belo Horizonte","Pré-eclâmpsia não especificada",0
"Belo Horizonte","Transtorno osteomuscular não especificado pós-procedimento",0
"Belo Horizonte","Neoplasia maligna do estômago",0
"Belo Horizonte","Cólica nefrética não especificada",0
"Belo Horizonte","Bronquite não especificada como aguda ou crônica",0
"Belo Horizonte","Diabetes mellitus insulino-dependente - com complicações não especificadas",0
"Belo Horizonte","Leucoma aderente",0
"Belo Horizonte","Fratura dos ossos malares e maxilares",0
"Belo Horizonte","Neoplasia maligna da porção cervical do esôfago (esôfago cervical)",0
"Belo Horizonte","Amputação traumática do pé ao nível do tornozelo",0
"Belo Horizonte","Incompetência do colo do útero",0
"Belo Horizonte","Aborto retido",0
"Belo Horizonte","Neoplasia maligna do cerebelo",0
"Belo Horizonte","Outras cistites",0
"Belo Horizonte","Embolia aérea subseqüentes à infusão",0
"Belo Horizonte","Leucemia mielóide aguda",0
"Belo Horizonte","Distúrbio metabólico não especificado",0
"Belo Horizonte","Calculose da vesícula biliar sem colecistite",0
"Santa Teresa","Outros tipos de parto único espontâneo",0
"Santa Teresa","Cisto pilonidal com abscesso",0
"Santa Teresa","Cistocele",0
"Santa Teresa","Anemia nutricional não especificada",0
"Santa Teresa","Obstrução do trabalho de parto devida a desproporção feto-pélvica",0
"Santa Teresa","Aborto espontâneo - incompleto",0
"Santa Teresa","Infecção intestinal bacteriana não especificada",0
"Santa Teresa","Neoplasia maligna da trompa de Falópio",0
"Santa Teresa","Parto por cesariana eletiva",0
"Santa Teresa","Hérnia umbilical com obstrução",0
"Santa Teresa","Sialadenite",0
"Santa Teresa","Outras enterites virais",0
"Santa Teresa","Infecção estreptocócica de localização não especificada",0
"Santa Teresa","Outros acidentes isquêmicos cerebrais transitórios e síndromes correlatas",0
"Santa Teresa","Diabetes mellitus insulino-dependente - com complicações circulatórias periféricas",0
"Santa Teresa","Transtornos não especificados dos glóbulos brancos",0
"Santa Teresa","Aderências peritoniais",0
"Santa Teresa","Parto por cesariana de emergência",0
"Santa Teresa","Púrpura trombocitopênica idiopática",0
"Santa Teresa","Septicemia não especificada",0
"Santa Teresa","Neoplasia maligna da mama com lesão invasiva",0
"Santa Teresa","Parto espontâneo cefálico",2
"Santa Teresa","Poliartropatia inflamatória",0
"Santa Teresa","Diabetes mellitus não especificado - com complicações circulatórias periféricas",0
"Santa Teresa","Pneumonia bacteriana não especificada",0
"Santa Teresa","Trabalho de parto e parto complicados por vasa praevia",0
"Santa Teresa","Hérnia inguinal unilateral ou não especificada",0
"Santa Teresa","Calculose da vesícula biliar com outras formas de colecistite",0
"Santa Teresa","Outras afecções especificadas da pele e do tecido subcutâneo",0
"Santa Teresa","Outros transtornos especificados dos órgãos genitais masculinos",0
"Santa Teresa","Outras colelitíases",0
"Santa Teresa","Outros transtornos especificados do aparelho urinário",0
"Santa Teresa","Outras doenças bacterianas especificadas",0
"Santa Teresa","Retenção urinária",0
"Santa Teresa","Infecção estafilocócica de localização não especificada",0
"Santa Teresa","Parto único espontâneo",0
"Santa Teresa","Outros cistos ovarianos e os não especificados",0
"Santa Teresa","Hipertrofia do prepúcio",0
"Santa Teresa","Infecção do trato urinário de localização não especificada",0
"Santa Teresa","Transtorno depressivo recorrente",0
"Santa Teresa","Outros transtornos da placenta",0
"Santa Teresa","Hemorróidas externas sem complicação",0
"Santa Teresa","Esquizofrenia simples",0
"Santa Teresa","Transtorno afetivo bipolar",0
"Santa Teresa","Esquizofrenia paranóide",0
"Santa Teresa","Fratura do colo do fêmur",1
"Santa Teresa","Diarréia e gastroenterite de origem infecciosa presumível",0
"Santa Teresa","Dengue [dengue clássico]",0
"Santa Teresa","Calculose da vesícula biliar com colicistite aguda",0
"Santa Teresa","Neoplasia benigna do útero",0
"Santa Teresa","Outra hidrocele",0
"Santa Teresa","Neoplasia lipomatosa benigna da pele e do tecido subcutâneo da cabeça",0
"Santa Teresa","Outras gastrites",0
"Santa Teresa","Fratura das diáfises do rádio e do cúbito [ulna]",0
"Santa Teresa","Outros descolamentos da retina",0
"Santa Teresa","Edema cerebral traumático",0
"Santa Teresa","Obstrução do duodeno",0
"Santa Teresa","Cirrose hepática alcoólica",0
"Santa Teresa","Outra insuficiência renal crônica",0
"Santa Teresa","Neoplasia maligna da porção central da mama",0
"Santa Teresa","Traumatismo do cólon",0
"Santa Teresa","Hiperplasia da próstata",0
"Santa Teresa","Fratura de outras partes e de partes não especificadas do punho e da mão",0
"Santa Teresa","Seguimento envolvendo remoção de placa de fratura e outros dispositivos de fixação interna",0
"Santa Teresa","Outras coxartroses pós-traumáticas",0
"Santa Teresa","Outras formas de doença isquêmica aguda do coração",0
"Santa Teresa","Outras esquizofrenias",0
"Santa Teresa","Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome de dependência",0
"Santa Teresa","Transtornos mentais e comportamentais devidos ao uso de álcool - transtorno psicótico",0
"Santa Teresa","Outras poliartroses",0
"Santa Teresa","Luxação congênita unilateral do quadril",0
"Santa Teresa","Outras deformidades da orelha",0
"Santa Teresa","Insuficiência cardíaca congestiva",0
"Santa Teresa","Linfoma não-Hodgkin difuso",0
"Santa Teresa","Leiomioma subseroso do útero",0
"Santa Teresa","Neoplasia maligna do colo do útero",0
"Santa Teresa","Neoplasia de comportamento incerto ou desconhecido do ovário",0
"Santa Teresa","Neoplasia lipomatosa benigna da pele e tecido subcutâneo de outras localizações e de localizações não especificadas",0
"Santa Teresa","Transtornos inflamatórios da mama",0
"Santa Teresa","Outros tipos de parto único por cesariana",0
"Santa Teresa","Causas desconhecidas e não especificadas de morbidade",0
"Santa Teresa","Trabalho de parto e parto complicados por cordão curto",0
"Santa Teresa","Gastrite crônica",0
"Santa Teresa","Epilepsia",0
"Santa Teresa","Diabetes mellitus não especificado - com complicações não especificadas",0
"Santa Teresa","Doença do esôfago",0
"Santa Teresa","Pneumonia não especificada",0
"Santa Teresa","Outras gastrites agudas",0
"Santa Teresa","Asma não especificada",0
"Santa Teresa","Desnutrição protéico-calórica não especificada",0
"Santa Teresa","Trabalho de parto prolongado",0
"Santa Teresa","Infecção viral não especificada",0
"Santa Teresa","Nefrite túbulo-intersticial crônica não especificada",0
"Santa Teresa","Leiomioma do útero",0
"Santa Teresa","Outras doenças da glândula de Bartholin",0
"Santa Teresa","Cisto da glândula de Bartholin",0
"Santa Teresa","Outros abscessos da faringe",0
"Santa Teresa","Calculose de via biliar sem colangite ou colecistite",0
"Santa Teresa","Hiperplasia adenomatosa endometrial",0
"Santa Teresa","Doença pelo HIV resultando em encefalopatia",0
"Santa Teresa","Efeito tóxico do veneno de serpente",0
"Santa Teresa","Peritonite aguda",0
"Santa Teresa","Traumatismo cerebral focal",0
"Santa Teresa","Bexiga neuropática não-inibida não classificada em outra parte",0
"Santa Teresa","Doença pulmonar obstrutiva crônica com infecção respiratória aguda do trato respiratório inferior",0
"Santa Teresa","Neoplasia maligna secundária e não especificada dos gânglios linfáticos da cabeça",0
"Santa Teresa","Esterilização",0
"Santa Teresa","Nódulo mamário não especificado",0
"Santa Teresa","Trabalho de parto e parto complicados por sofrimento fetal",0
"Santa Teresa","Outras anormalidades da contração uterina",0
"Santa Teresa","Hérnia ventral sem obstrução ou gangrena",0
"Santa Teresa","Pólipo do corpo do útero",0
"Santa Teresa","Erisipela",0
"Santa Teresa","Gravidez prolongada",0
"Santa Teresa","Anemia não especificada",0
"Santa Teresa","Hipertensão essencial (primária)",0
"Santa Teresa","Bronquite aguda não especificada",0
"Santa Teresa","Episódio depressivo moderado",0
"Santa Teresa","Gastrite não especificada",0
"Santa Teresa","Outras septicemias especificadas",0
"Santa Teresa","Outros recém-nascidos de pré-termo",0
"Santa Teresa","Tuberculose pulmonar",0
"Santa Teresa","Fratura da rótula [patela]",0
"Santa Teresa","Fratura da extremidade inferior do úmero",0
"Santa Teresa","Neoplasia maligna dos ureteres",0
"Santa Teresa","Fratura do maléolo lateral",0
"Santa Teresa","Afecções da pele e do tecido subcutâneo",0
"Santa Teresa","Cisto ovariano de desenvolvimento",0
"Santa Teresa","Parto por cesariana",0
"Santa Teresa","Infecção bacteriana não especificada",0
"Santa Teresa","Neoplasia benigna de outras partes do útero",0
"Santa Teresa","Úlcera gastrojejunal - aguda com hemorragia",0
"Santa Teresa","Neoplasia benigna de localização não especificada",0
"Santa Teresa","Salpingite e ooforite não especificadas",0
"Santa Teresa","Fratura da diáfise do fêmur",0
"Santa Teresa","Luxação da articulação do tornozelo",0
"Santa Teresa","Neoplasia de comportamento incerto ou desconhecido da bexiga",0
"Santa Teresa","Apendicite aguda sem outra especificação",0
"Santa Teresa","Outras doenças especificadas do intestino",0
"Santa Teresa","Hérnia umbilical sem obstrução ou gangrena",0
"Santa Teresa","Neoplasia de comportamento incerto ou desconhecido da próstata",0
"Santa Teresa","Nevo melanocítico de outras partes e de partes não especificadas da face",0
"Santa Teresa","Neoplasia benigna da glândula parótida",0
"Santa Teresa","Outras pneumonias bacterianas",0
"Santa Teresa","Outros transtornos respiratórios pós-procedimentos",0
"Santa Teresa","Úlcera de decúbito",0
"Santa Teresa","Pneumoconiose não especificada",0
"Santa Teresa","Pneumonia viral não especificada",0
"Santa Teresa","Traumatismo do rim",0
"Santa Teresa","Doador de medula óssea",0
"Santa Teresa","Leucemia linfoblástica aguda",0
"Santa Teresa","Angina instável",0
"Santa Teresa","Neoplasia de comportamento incerto ou desconhecido da medula espinhal",0
"Santa Teresa","Trabalho de parto precipitado",0
"Santa Teresa","Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome de abstinência com delirium",0
"Santa Teresa","Fratura da diáfise da tíbia",0
"Santa Teresa","Neoplasia maligna da glândula tireóide",0
"Santa Teresa","Gangrena gasosa",0
"Santa Teresa","Transtornos do desenvolvimento dos maxilares",0
"Santa Teresa","Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome [estado] de abstinência",0
"Santa Teresa","Insuficiência respiratória do recém-nascido",0
"Santa Teresa","Fratura da extremidade distal do rádio e do cúbito [ulna]",0
"Santa Teresa","Fenda palatina não especificada",0
"Santa Teresa","Fratura da clavícula",0
"Santa Teresa","Doença do pâncreas",0
"Santa Teresa","Fratura da extremidade superior do úmero",0
"Santa Teresa","Acidente vascular cerebral",0
"Santa Teresa","Varizes dos membros inferiores com úlcera",0
"Santa Teresa","Insuficiência cardíaca não especificada",0
"Santa Teresa","Diabetes mellitus não-insulino-dependente - com complicações não especificadas",0
"Santa Teresa","Angiopatia periférica em doenças classificadas em outra parte",0
"Santa Teresa","Doença pulmonar obstrutiva crônica não especificada",0
"Santa Teresa","Hérnia ventral com obstrução",0
"Santa Teresa","Neoplasia maligna da próstata",0
"Santa Teresa","Outros traumatismos intracranianos",0
"Santa Teresa","Bloqueio atrioventricular total",0
"Santa Teresa","Fratura de outras partes do antebraço",0
"Santa Teresa","Outras infecções intestinais especificadas",0
"Santa Teresa","Insuficiência respiratória aguda",0
"Santa Teresa","Hipertensão secundária",0
"Santa Teresa","Septicemia bacteriana não especificada do recém-nascido",0
"Santa Teresa","Afecções hipertróficas da pele",0
"Santa Teresa","Salpingite e ooforite agudas",0
"Santa Teresa","Hepatite viral",0
"Santa Teresa","Abscesso cutâneo",0
"Santa Teresa","Outros sintomas e sinais gerais especificados",0
"Santa Teresa","Complicação não especificada de cuidados médicos e cirúrgicos",0
"Santa Teresa","Diabetes mellitus insulino-dependente - sem complicações",0
"Santa Teresa","Fratura da diáfise do úmero",0
"Santa Teresa","Neoplasia maligna da face dorsal da língua",0
"Santa Teresa","Síndrome do túnel do tarso",0
"Santa Teresa","Insuficiência renal crônica não especificada",0
"Santa Teresa","Outras hemorragias subaracnóides",0
"Santa Teresa","Neoplasia maligna do estômago com lesão invasiva",0
"Santa Teresa","Estenose mitral",0
"Santa Teresa","Neoplasia maligna do cérebro",0
"Santa Teresa","Fístula de via biliar",0
"Santa Teresa","Outras pneumonias virais",0
"Santa Teresa","Desconforto respiratório não especificado do recém-nascido",0
"Santa Teresa","Outras complicações específicas de gestação múltipla",0
"Santa Teresa","Pré-eclâmpsia não especificada",0
"Santa Teresa","Transtorno osteomuscular não especificado pós-procedimento",0
"Santa Teresa","Neoplasia maligna do estômago",0
"Santa Teresa","Cólica nefrética não especificada",0
"Santa Teresa","Bronquite não especificada como aguda ou crônica",0
"Santa Teresa","Diabetes mellitus insulino-dependente - com complicações não especificadas",0
"Santa Teresa","Leucoma aderente",0
"Santa Teresa","Fratura dos ossos malares e maxilares",0
"Santa Teresa","Neoplasia maligna da porção cervical do esôfago (esôfago cervical)",0
"Santa Teresa","Amputação traumática do pé ao nível do tornozelo",0
"Santa Teresa","Incompetência do colo do útero",0
"Santa Teresa","Aborto retido",0
"Santa Teresa","Neoplasia maligna do cerebelo",0
"Santa Teresa","Outras cistites",0
"Santa Teresa","Embolia aérea subseqüentes à infusão",0
"Santa Teresa","Leucemia mielóide aguda",0
"Santa Teresa","Distúrbio metabólico não especificado",0
"Santa Teresa","Calculose da vesícula biliar sem colecistite",0
"Rincão do Meio","Outros tipos de parto único espontâneo",0
"Rincão do Meio","Cisto pilonidal com abscesso",0
"Rincão do Meio","Cistocele",0
"Rincão do Meio","Anemia nutricional não especificada",0
"Rincão do Meio","Obstrução do trabalho de parto devida a desproporção feto-pélvica",0
"Rincão do Meio","Aborto espontâneo - incompleto",0
"Rincão do Meio","Infecção intestinal bacteriana não especificada",0
"Rincão do Meio","Neoplasia maligna da trompa de Falópio",0
"Rincão do Meio","Parto por cesariana eletiva",0
"Rincão do Meio","Hérnia umbilical com obstrução",0
"Rincão do Meio","Sialadenite",0
"Rincão do Meio","Outras enterites virais",0
"Rincão do Meio","Infecção estreptocócica de localização não especificada",0
"Rincão do Meio","Outros acidentes isquêmicos cerebrais transitórios e síndromes correlatas",0
"Rincão do Meio","Diabetes mellitus insulino-dependente - com complicações circulatórias periféricas",0
"Rincão do Meio","Transtornos não especificados dos glóbulos brancos",0
"Rincão do Meio","Aderências peritoniais",0
"Rincão do Meio","Parto por cesariana de emergência",0
"Rincão do Meio","Púrpura trombocitopênica idiopática",0
"Rincão do Meio","Septicemia não especificada",0
"Rincão do Meio","Neoplasia maligna da mama com lesão invasiva",0
"Rincão do Meio","Parto espontâneo cefálico",0
"Rincão do Meio","Poliartropatia inflamatória",0
"Rincão do Meio","Diabetes mellitus não especificado - com complicações circulatórias periféricas",0
"Rincão do Meio","Pneumonia bacteriana não especificada",0
"Rincão do Meio","Trabalho de parto e parto complicados por vasa praevia",0
"Rincão do Meio","Hérnia inguinal unilateral ou não especificada",0
"Rincão do Meio","Calculose da vesícula biliar com outras formas de colecistite",0
"Rincão do Meio","Outras afecções especificadas da pele e do tecido subcutâneo",0
